Date;N° HESSO;Date de début;Date de fin;Libellé;Statut
2007-02-27;11942;2004-02-01;2006-06-15;Modélisation et simulation à l'aide d'un automate cellulaire d'interférences hertziennes aux abords d'un aéroport;AC
2003-10-01;11943;2004-01-05;2004-10-05;Solution Multimédia Open Source en Rebol;RF
2007-03-20;11948;2004-10-01;2007-05-31;HGA - Hocheffizienter getriebeloser Antrieb / Optimisation de génératrices pour éolienne basse vitesse sans réducteur;AN
2007-05-23;11980;2003-06-02;2005-01-31;Centre d'entraînement au management comportemental - 2ème phase;AC
2006-07-20;12008;2002-07-01;2005-06-30;Une Base de Concepts : un outil de collaboration;AC
2007-04-26;12029;2005-09-28;2007-01-31;COMPORTEMENT A LA FATIGUE D'UNE PIECE EN ALLIAGE D'ALUMINIUM ASSEMBLEE PAR SOUDAGE;AC
2005-03-21;12031;2003-05-01;2003-06-30;Expertise de ressorts de contact;AC
2008-04-08;12041;2003-12-01;2005-10-31;Excursionnisme et Parcs protégés;AC
2006-11-07;12044;2003-06-01;2006-02-28;Accès aux contenus sémantiques d'images avec SVG ;AC
2006-02-01;12045;2004-03-01;2005-06-30;Elaboration de systèmes d'information (SII) évolutifs;AC
2007-02-15;12059;2003-01-01;2004-01-31;Acquisition de compétences en cryoconservation de végétaux ligneux;AC
2005-10-13;12066;2002-01-01;2005-05-31;Automatisation des Versements en Archivistique;AC
2006-08-24;12075;2003-05-01;2004-06-01;Analytique des composés aromatiques soufrés à l'exemple ' de petite Arvine;AC
2007-02-27;12079;2004-02-01;2006-07-31;Analyse Rapide des Coûts d'un Bâtiment (méthode et outil d'analyse de l'incidence de la morphologie et des principes constructifs sur le coût global);AC
2007-10-10;12093;2001-11-01;2003-12-31;Cyberadministration et e-governement en internet mobile;AC
2005-08-24;12120;2000-01-01;2005-03-01;Gestion des outils EDA du CCSI;AC
2006-03-03;12180;2003-08-01;2004-05-31;Prototype de dessalement d'eau de mer par distillation transmembranaire, mobile, fonctionnant à l'énergie solaire.;AC
2006-03-03;12183;2003-04-01;2004-08-31;Commande par ordinateur externe de systèmes robotisés , application au pilotage et à la paramétrisation d'équipements représentatifs / CommRob - CommKuka;AC
2005-09-14;12186;2003-03-01;2004-12-31;Optimisation de l'impact d'une information diffusée électroniquement (Optinfo);AC
2007-02-27;12216;2004-09-01;2006-09-01;Analyse préliminaire des performances thermiques de bâtiments préfabriqués lourds - PREFATHERM_1;AC
2006-05-02;12217;2002-11-01;2005-02-28;Propriétés dynamiques d'une librairie d'algorithmes génétiques parallèles;AC
2006-08-24;12218;2002-09-01;2005-12-31;Etude de la mise en oeuvre de systèmes embarqués avec RT-Java. ES-RTJ : Embedded Systems with Real-Time Java;AC
2005-02-10;12219;2002-11-01;2004-02-29;Global computing;AC
2006-08-24;12220;2004-01-01;2004-12-31;Algorithme de segmentation d'image / ASI;AC
2006-11-07;12221;2003-06-01;2005-12-31;Optipris;AC
2005-10-24;12223;2001-11-01;2004-09-30;Hydrobar;AC
2005-12-05;12225;2001-11-01;2004-08-06;Récupération du chrome dans les déchets;AC
2007-02-27;12237;2004-04-01;2006-06-30;Planification énergétique et environnmentale de quartier (PEEQ);AC
2006-05-18;12244;2003-08-01;2004-07-31;Disappearing Computing for Learning Applications ;RF
2005-03-21;12270;2003-09-15;2003-09-30;Numérisation  et RDS d'un corps de robinet d'arrêt 1305-01 ;AC
2006-08-24;12300;2004-01-01;2005-12-28;CERN - High Level Dosimetry;AC
2003-12-03;12301;2003-10-01;2005-09-30;Etude de l'absorbabilité de différentes sources (inorganiques et organiques) d'oligo-éléments à travers les cellules Caco-2;RF
2009-03-27;12307;2005-01-01;2007-12-31;DOmaines ferroélectriques INversés pour composants à Ondes de Surface appliqués au traitement du signal radio-fréquence par composants passifs - DOMINOS;AC
2005-03-21;12315;2003-07-02;2003-12-31;Analyse d'un circuit de décharge par relaxation pour CTSA;AC
2006-05-18;12327;2003-09-01;2006-06-30;iPPF - Outil d'évaluation du potentiel solaire en zone urbaine;AC
2007-02-27;12329;2003-11-01;2006-02-28;Ecoperformances pour avant-projets de construction ou rénovation;AC
2007-02-27;12355;2000-01-01;2005-12-31;OENOCOLOR - Colorimètre pour l'oenologie;AC
2006-07-11;12363;2005-01-01;2008-08-31;Réalisation de coussinets en bronze au plomb sur pièces en alliage de titane;RF
2004-03-03;12366;2004-01-05;2004-12-31;Mesure et compréhension de la relaxation d'alliages cuivreux;RF
2004-08-18;12367;2004-01-05;2006-12-29;Effet du cumul du dommage en fatigue sur la résistivité à 4K des soudures des bus bar;AN
2005-07-01;12372;2004-03-01;2005-05-31;Integrated white-light interferometric profiler and atomic force microscope;AC
2007-03-05;12373;2003-12-01;2004-05-31;Développement headset bluetooth Xemics - Strautmann;AC
2004-07-14;12383;2004-06-01;2005-05-31;Modèle thermique d'un réacteur pour la production d'hydrogène;RF
2005-06-16;12400;2002-12-01;2004-05-31;IEEE 1451.1 Accès réseau pour notre industrie;AC
2005-08-24;12401;2002-09-01;2004-06-30;System on chip (SOC) 2;AC
2005-12-05;12402;2002-05-01;2004-04-30;STEP-NC 2 / Step-Compliant data interface for numerical controlers;AC
2007-08-23;12422;2001-05-31;2007-06-30;Mesures de performances des groupes ORC du Nant-de-Châtillon;AC
2006-02-12;12424;2003-03-01;2004-06-30;CTSA - Modélisation thermique d'armoires électriques de machines-outils;AC
2005-04-07;12437;2003-03-10;2003-12-31;Caratérisation de revêtement, nanodureté pour Bestcoating;AC
2005-03-21;12452;2003-03-14;2003-07-25;Nouveau concept réglage bracelet métal;AC
2005-09-16;12460;2002-09-01;2004-05-31;Surveillance de la coupe et caractérisation de l'usure - SCCU;AC
2004-09-23;12461;2003-01-01;2003-12-31;Gestion automatique de la fermentation alcoolique - Conduite centralisée d'un groupe de sondes (CondFermAl);AC
2004-03-16;12462;2002-06-01;2004-05-01;Acquisition de compétences dans le domaine des procédés chimiques automatiques;AC
2006-11-07;12465;2004-09-01;2006-12-01;Nouvelles technologies pour optimiser la tribologie des skis sur la neige - Triboski;AC
2005-12-02;12468;2000-10-01;2003-06-30;Utilisation et méthode d'apprentissage de logiciels complexes de simulation dynamique;AC
2003-12-15;12471;2002-01-07;2003-06-30;CRYogénie dans la Mécanique Elasto-plastique" CRYMEE ;AC
2005-03-21;12478;2003-01-06;2004-01-05;Expertises et analyses de tuyauteries;AC
2004-01-19;12485;2001-03-01;2003-06-30;Système de mesure ultrasonore de qualité osseuse;AC
2003-12-15;12486;2000-05-01;2003-04-01;Field bus interface for high speed Off Detector Electronics in the CERN LHCb experiment;AC
2006-05-18;12492;2002-01-01;2003-12-31;Eco-mobile - Consomini.ch;AC
2006-06-20;12493;2004-06-01;2005-06-30;Model Driven ERP Implementation;AC
2008-02-26;12503;2002-01-01;2005-12-31;Balance aérodynamique pour la mesure de la friction sur des tissus;AC
2005-03-21;12522;2003-11-06;2003-11-28;Numérisation et RDS d'un coude 532.125;AC
2005-03-21;12524;2003-05-06;2003-12-12;Production des couches polaires;AC
2003-12-09;12535;2001-01-01;2003-03-31;Sacs parachutes pour le largage de vivres;AC
2004-06-23;12548;2000-12-01;2001-12-31;Etude de l'écoulement sur une quille de bateau;AC
2004-09-08;12549;2004-02-02;2005-03-31;Mobile Information Collect for Evaluation;RF
2006-02-02;12552;2003-09-01;2005-03-31;Le marketing du multimedia mobile par messaging service pour les PME;AC
2007-02-27;12562;2003-10-20;2005-12-31;Coordination du CCM&C;AC
2005-04-19;12567;2004-06-01;2006-06-01;Projet de façades;RF
2003-12-17;12569;2001-05-01;2003-12-31;TOP NANO Méthode de mesures de nanoidentification;RF
2005-03-21;12585;2002-03-15;2004-06-30;Gestion des Epreuves Communes du Cycle d'Orientation;AC
2003-12-15;12607;2000-01-01;2003-03-31;CERN - Dosage d'éléments radioactifs naturels dans des échantillons géologiques;AC
2005-03-21;12608;2003-01-01;2003-02-28;CERN - Limites de détection;AC
2005-05-31;12610;2001-08-01;2003-12-31;TOP NANO Méthode de mesures de nanoidentification;AC
2006-02-01;12611;2004-03-01;2005-08-31;ESB et bus applicatif;AC
2007-02-27;12615;2004-06-01;2006-09-30;NANOMECHANICAL PROPERTIES OF NANOCOMPOSITE COATINGS AND FUNDAMENTAL MECHANISMS OF THEIR SYNTHESIS;AC
2008-11-28;12617;2004-03-01;2007-11-30;NANOCOMPOSITES FOR PISTON/LINER SYSTEMS;AC
2004-09-03;12639;2005-01-01;2008-12-31;BIFUNCTIONAL NANOCOMPOSITE COATINGS FOR DRY OPERATION IN SEVERE ENVIRONMENTS;RF
2004-07-16;12641;2003-05-01;2004-05-01;IMPROVEMENT OF TRANSPARENCY OF OPTIMIZED INFRARED MIRRORS ON ARCHITECTURAL GLASS BASED ON 4-15 NM THICK SILVER COATINGS;RF
2004-07-08;12647;2004-03-01;2004-10-31;UN CLAVIER SOFTWARE MULTI-LINGUE POUR UNE NOUVELLE GENERATION DE TACTILE POCKET COMPUTER : ACTIL;RF
2005-03-21;12664;2003-08-01;2003-10-31;BSR GC-104;AC
2005-08-29;12666;2004-06-29;2005-03-31;Traitement des effluents de papeterie;RF
2005-12-08;12667;2003-06-08;2005-10-30;Traitement électrocinétique des sols pollués;RF
2006-12-19;12668;2003-09-09;2005-12-31;Similor-Kugler (pollution chimique de robinetterie);AC
2005-03-21;12669;2003-01-13;2004-04-30;Solution destructirice de billets de banques "Brink's II";AC
2004-12-17;12678;2002-03-15;2003-01-17;Système automatique d'annonce d'absences;AC
2005-12-05;12686;2000-10-01;2002-12-31;Simulateur pour test de la vision;AC
2003-12-04;12687;2000-04-01;2002-06-30;Orthèse pour myopathe;AC
2005-03-21;12688;2003-11-24;2003-12-31;Détermination de pertes de charge sur des pièges à lumière destinés à un satellite;AC
2004-07-30;12690;2001-03-01;2003-04-30;Outils de développement croisé performant pour l'enseignement et les projets;AC
2006-02-02;12691;2000-12-01;2001-06-30;Réseau privé VPN - Phase 1;AC
2007-05-23;12698;;;Château de Sarre;AC
2005-03-21;12703;2003-08-01;2003-08-31;Mesure de bruit d'électrovalves;AC
2005-03-21;12705;2003-08-01;2003-08-31;Analyse de bruit de turbine à palette;AC
2005-03-21;12706;2003-09-04;2003-09-30;Mesure de bruit de transformateur de puissance;AC
2005-03-21;12707;2002-08-01;2003-02-15;Chaîne de mesurage acoustique;AC
2006-08-24;12708;2004-04-15;2006-04-07;Etude acoustiques de dispositifs de sonneries de montres ;AC
2004-07-28;12709;2004-01-12;2004-06-14;Dévelopement d'un transducteur acoustique pour IRM;RF
2005-03-21;12715;2003-09-15;2003-11-21;Coupe papier HEAA BLICKFANG - IT 419;AC
2005-03-17;12716;2003-02-10;2004-10-31;Analyse du potentiel de rafraîchissement passif de la salle de spectacles du Victoria Hall;AC
2005-03-21;12717;2003-09-01;2003-11-21;Couteau HEAA BLICKFANG manche incliné - IT 418;AC
2005-03-17;12720;2003-02-01;2003-07-31;Etude solaire Planète Charmilles;AC
2007-02-27;12723;2004-01-01;2005-06-30;Interreg IIIA bâtiment à faible impact environnemental;AC
2005-03-21;12737;2003-11-01;2004-01-31;Développement ;AC
2005-02-10;12738;2002-02-01;2002-12-31;Réseau privé VPN - Phase 2;AC
2008-02-26;12766;2003-10-01;2007-02-28;Egalité des chances entre femmes et hommes dans les HES;AC
2006-07-20;12771;2003-06-02;2005-12-31;Intégration de la sécurité au niveau des applications de l'entreprise;AC
2005-03-21;12779;2003-11-15;2003-12-10;CERN - Markus;AC
2007-02-15;12786;2002-02-01;2005-01-31;MAITRISE DE LA JUVENILITE ET DES NEOFORMATIONS EN VUE DE L'AMELIORATION DE LA QUALITE DES MICROPLANTS PRODUITS;AC
2005-12-05;12788;2004-03-08;2004-12-31;Machine à chocs pour Montres Bracelets;AC
2014-12-10;12789;2003-06-18;2007-12-31;ElsaMetal;AC
2005-03-21;12790;2003-07-30;2003-08-20;Mesures de bruit d'électrovalves, série2;AC
2004-06-03;12794;2004-04-01;2005-10-31;Système de vision tri-dimensionnel sur FPGA;RF
2004-08-19;12795;2004-05-01;2005-04-30;Porting Genetic Applications on Peer To Peer Platforms;RF
2004-04-20;12796;2004-06-01;2005-08-31;FastBus, Particularité de conception de systèmes embarqués munis de bus rapides;RF
2004-09-10;12797;2004-06-01;2004-12-31;AOP versus OOP;RF
2008-02-26;12802;2004-04-01;2007-10-30;Traitement du signal pour électromyographie;AC
2004-04-20;12803;2004-05-03;2005-04-29;Traitement du Signal Haute vitesse sur logiques programmables;RF
2007-04-26;12832;2005-02-01;2006-08-30;Plate-forme de distribution de documents à caractère multimédia;AC
2007-02-27;12846;2004-04-01;2006-09-30;Nouveau revêtement décoratif noir réalisé par PVD;AC
2005-12-05;12848;2003-05-12;2004-12-05;CRAN DE BRACELET;AC
2007-02-27;12861;2004-09-01;2006-11-30;VERITABLE VIDEO A LA DEMANDE : PATCHING;AC
2004-03-18;12871;2002-01-01;2002-12-31;Développement de nouveaux agents antiSIDA - Phase 1;AC
2006-05-18;12873;2003-02-01;2005-01-31;Création d'un simulateur et d'un analyseur de perturbations des signaux ILS (Instrument Landing System);AC
2005-03-21;12878;2003-03-01;2004-02-28;Techniques de diffusion par IRM;AC
2006-11-07;12890;2004-05-03;2006-05-31;Sonar Actif pour Non-voyants;AC
2004-09-02;12893;2004-05-03;2005-12-31;Compétitivite et innovation : Modèles possibles de veille collective pour les PME;RF
2004-09-14;12899;2004-04-01;2005-10-31;EVALUATION AT APPLIED UNIVERSITIES WITH RESPECT TO COMPETENCES OF PROFESSORS;RF
2008-02-26;12908;2004-09-01;2007-08-31;Caractériser le confort des espaces extérieurs - CARCODEX;AC
2004-09-07;12935;2004-03-01;2004-12-31;Analyse des conditions de logement : une approche multidimensionnelle au service des collectivités publiques;RF
2005-01-12;12942;2004-01-01;2005-12-31;La production de matières pèremières secondaires pour assurer le développement durable: bilans techniques complexes et synergies économiques;RF
2004-08-17;12943;2002-12-19;2003-10-31;Top Nano 21 projet "Nanopro";AC
2005-01-24;12944;2004-02-02;2004-12-31;Une organisation au service des micros et petites entreprises;AN
2005-01-12;12945;2004-03-01;2005-01-31;Management de la performance dans les petites et moyennes entreprises suisses;RF
2010-11-24;12958;2003-05-15;2008-06-30;Traitement du signal des images au profit des HUG;AC
2005-01-18;12977;2003-09-01;2005-01-31;Elimination de la légionelle dans l'eau par micro onde;AN
2009-02-16;12978;2004-05-19;2007-10-15;Méthodologies d'analyse et de mise en oeuvre pour la conception assistée de la manutention et de l'assemblage automatisés;AC
2006-03-29;12995;2003-06-01;2004-12-31;Centre de Compétences en Energies;AC
2005-03-21;13011;2002-12-01;2003-12-31;Développement d'algorithmes de traitement des mousses;AC
2008-08-25;13024;2004-07-15;2006-04-30;Relève et transmission de l'entreprise familiale. Le cas du secteur hôtelier;AC
2004-04-20;13030;2004-03-01;2005-05-31;Etude comparative de communautés microbiennes intervenant dans le processus biologique des stations d'épuration.;RF
2005-06-24;13039;2002-01-01;2003-12-31;Le tourisme des jeunes et ses implications sur l'offre et la demande futures;AC
2007-02-15;13042;2004-03-01;2005-02-28;DIAGNOSTIC MOLECULAIRE D'OOMYCETES PHYTOPATHOGENES DU GENRE PHYTOPHTHORA;AC
2005-11-29;13043;2002-06-01;2004-12-31;Veille stratégique pour les PME;AC
2006-11-07;13082;2004-01-05;2005-03-31;L'espace de travail;AC
2005-07-12;13100;2004-01-26;2004-09-30;TPG Bachet-de-Pesay - Analyse confort estival bâtiment;AC
2006-02-12;13108;2002-01-01;2005-12-31;Orthèse pour myopathe phase 3;AC
2005-03-21;13120;2004-01-01;2004-08-31;TRIBEX;AC
2006-10-26;13124;2004-05-01;2006-12-31;Elaboration d'un instrument de pilotage des politiques publiques dans les communes;AC
2005-11-15;13133;2004-01-05;2004-12-31;Chapitre Habillement pour le livre "Théorie de la construction horlogère pour ingénieurs";RF
2004-04-20;13137;2004-05-03;2005-05-27;Modélisation et simulation d'un plan de fréquence;RF
2005-03-21;13158;2004-01-30;2004-02-27;MHyLab EIG-IT 426 relative à la numérisation et RDS d'une pale Kaplan;AC
2005-11-08;13160;2002-01-01;2004-08-19;Régulation et optimisation d'une colonne industrielle Sulzer par logique floue ou régulation auto-adaptative à l'aide de la chromatographie gazeuse;AC
2006-08-24;13227;2004-09-01;2005-07-30;Optimisation dynamique en temps réel;AC
2005-04-07;13228;2004-03-01;2004-09-30;Apparition des phases intermétalliques dans l'acier inoxydable austénitique 904L;AC
2006-03-29;13301;2001-08-01;2005-06-30;METROLAB;AC
2006-11-07;13315;2003-11-01;2004-11-01;Security management : intrusion management for VOIP (SIMS & VOIP);AC
2007-08-15;13336;2000-10-01;2001-11-30;Cyberadministration et E-gouvernement en Internet mobile;AC
2005-03-21;13355;2004-02-24;2004-03-31;VAUCHER EIG-IT 430 relative à la numérisation et reconstruction d'une carrure de montre "coeur";AC
2005-07-27;13376;1999-10-01;2002-12-31;Analyseur USB;AC
2005-03-11;13378;1999-12-01;2002-06-30;Montre HES-EIG;AC
2006-11-07;13379;1999-05-14;2004-12-31;(SNA = CUISSON) - Service de réalisation de circuits intégrés pour l'enseignement et la recherche appliquée;AC
2005-11-08;13380;1999-09-01;2000-12-31;PIM - Injection de poudres métalliques et céramiques;AC
2005-02-02;13381;2004-04-13;2004-04-13;CRAFT;AC
2005-04-07;13382;1999-01-01;2001-12-31;STEP-NC Développement de la normalisation de la commande numérique pour machines-outils;AC
2005-02-02;13383;2000-09-01;2002-03-31;DUPLEX CTI;AC
2005-11-08;13384;2001-07-01;2003-04-30;Dynamique de structures et de systèmes;AC
2005-08-17;13385;2003-01-01;2003-12-31;ICP 35K;RF
2004-03-16;13386;2002-11-01;2003-11-30;Mesure de la marche sur les mouvements mécaniques;AC
2006-01-19;13392;2003-01-18;2003-01-18;Séminaire international "Mesures volontaires des entreprises dans le domaine des politiques climatiques";AC
2005-03-21;13406;2004-02-01;2004-12-31;Perfusion cardiaque;AC
2005-06-10;13411;2001-05-20;2003-02-28;Indicateurs de durabilité au niveau local;AC
2004-09-30;13442;2001-10-01;2003-10-31;Portail d'entreprise;AC
2005-03-21;13472;2004-03-09;2004-03-31;Archeotech SA EIG-IT 433 relative à l'usinage d'un buste de Jaqumart;AC
2005-03-21;13475;2004-03-10;2004-03-31;MHyLab EIG-IT 434 relative à la modificationd'une pale Kaplan;AC
2005-12-05;13546;2004-03-01;2005-02-28;Fusion d'images;AC
2007-02-27;13557;2004-02-03;2006-12-31;mise au point d'une solution destructrice de billets;AC
2014-12-12;13558;2004-06-03;2007-06-30;Traitement des cendres volantes issues des usines d'incinération des ordures ménagères;AC
2004-12-21;13560;2004-03-24;2004-06-30;assistance technique pour la mise au point OVH et Electrodialyse;AC
2005-03-21;13570;2004-03-29;2004-04-30;VAUCHER EIG-IT 437 relative à la numérisation et reconstruction d'une carrure de montre tonneau D chrono;AC
2006-11-07;13572;2005-01-03;2006-05-31;Les formes de l'interactivité II;AC
2007-02-15;13575;2005-01-03;2006-12-29;Résidus phytosanitaires et renaturation des cours d'eau;AC
2007-01-25;13579;2003-10-23;2004-05-31;Matériauthèque Préalable théorique;AC
2005-03-21;13594;2004-04-02;2004-04-08;VAUCHER EIG-IT 439 relative à la numérisation et reconstruction d'une carrure de montre tonneau D chrono;AC
2006-11-07;13608;2004-03-01;2006-02-28;Argent;AC
2006-01-11;13616;2004-05-01;2005-05-01;SAW Préprojet / simulation / mesures AFM;AC
2005-03-21;13628;2004-04-23;2004-06-23;MHyLab EIG-IT 440 relative à la modificationd'une pale Kaplan;AC
2005-03-21;13642;2004-04-07;2004-08-31;Etude comparative de communautés microbiennes intervenant dans le processus biologique des stations d'épuration;AC
2004-11-05;13643;2004-04-28;2004-09-30;Etude comparative de communautés microbiennes intervenant dans le processus biologique des stations d'épuration;AC
2005-03-21;13654;2004-04-30;2004-05-28;Similor EIG-IT 441 relative à la numérisation et RDS d'un corps de batterie murale 962-01;AC
2007-02-15;13678;2005-01-01;2005-12-31;Détection et génotypage de souches et formes spéciales de Phytopthora infestans et de l'organisme de quarantaine Phytopthora ramorum ;AN
2007-02-15;13683;2005-01-01;2005-12-31;Screening de plantes (Phaseolus spp.) résistantes au gel et au froid par une approche physiomatique incluant la thermo-imagerie végétale;RF
2005-08-24;13684;2004-06-01;2004-11-30;Développement interface PS2/bluetooth Xemics - Strautmann;AC
2006-08-18;13693;2004-07-01;2006-06-30;Système de finition de surface ultra-versatile pour prototypage rapide;RF
2005-09-16;13697;2005-01-04;2005-08-31;Archeotech Copie numérique de 2 statue de jaquemarts;AC
2005-04-13;13702;2004-04-12;2004-05-14;Activité photocatalytique;AC
2005-04-15;13703;2003-11-30;2003-12-10;Echanges internationaux;AC
2004-11-15;13718;2005-01-03;2005-12-30;Procédé de dessalement d'eau par distillation transmembranaire;RF
2006-03-03;13721;2003-01-01;2003-12-31;Gestion du CCSI 2003;AC
2008-11-19;13722;2004-01-01;2004-12-31;Gestion du centre de compétences en systèmes intégrés, année 2004;AC
2009-01-22;13735;2003-01-01;2006-12-31;Gestion du centre de compétences A/GC/GO ;AC
2006-01-12;13757;2004-04-21;2005-12-30;Récupération de l'acide fluorhydrique dans les effluents industriels;RF
2004-11-15;13766;2005-01-03;2006-06-30;Système de vision tri-dimensionnel sur FPGA;RF
2006-02-03;13768;2004-03-09;2004-12-31;Détermination automatique de la hauteur de pièce en cours d'usinage  EDM fil;AC
2005-03-21;13782;2004-06-11;2004-06-30;Vaucher EIG 452 relative à la numérisation et reconstruction d'une carrure de montre;AC
2005-08-22;13799;2004-01-05;2004-12-31;Dipan 2004;AC
2005-01-10;13835;2004-06-01;2005-12-31;SOLMEC - Moteur thermique solaire;RF
2005-03-21;13839;2004-06-21;2004-08-31;SALOMON EIG 453 relative au support en modélisation sur Imageware;AC
2005-03-21;13840;2004-06-25;2004-08-31;MHyLab EIG 454 relative à la modification d'un auget Pelton "C" en vue de son usinage, la numérisation et reconstruction de surface de l'auget usiné.;RF
2005-10-24;13841;2004-06-25;2005-06-30;MHyLab EIG 455 relative à la modification d'un auget Pelton "D" en vue de son usinage, la numérisation et reconstruction de surface de l'auget usiné.;AC
2005-03-21;13842;2004-06-25;2004-08-31;MHyLab EIG 456 relative à la modification d'un auget Pelton "E" en vue de son usinage, la numérisation et reconstruction de surface de l'auget usiné.;RF
2005-01-12;13863;2004-09-01;2005-09-01;Acquisition de compétence en thermo-imagerie végétale. Mise au point d'une intallation semi-automatique de sélection de plantes (Phaseolus spp.) résistantes au gel.;RF
2007-02-27;13866;2004-10-15;2005-03-31;Antivitrifiant et propagation des plantes horticoles en bioréacteur;AC
2006-02-12;13887;2004-07-01;2005-12-31;Méthodologie de contrôle contractuelle (Phase 1, mois 1 à 4);AC
2007-02-27;13895;2005-01-01;2006-12-31;Gestion de filtrage récursif par FPGA - Problématique du point fixe;AC
2005-03-21;13897;2004-07-06;2004-08-31;SALOMON EIG 457 relative au support en modélisation sur Imageware;AC
2005-03-21;13902;2004-07-07;2004-10-29;MHyLab EIG 458 relative à la numérisation d'une pale Kaplan et la vérification de forme;AC
2005-03-21;13921;2004-07-01;2004-08-31;CERN -  Markus 2;AC
2006-03-03;13926;2000-09-01;2005-07-31;Générateur de questionnaires sur le WEB;AC
2005-03-21;13928;2004-07-09;2004-09-30;Mhylab EIG 459 usinage de 3 augets prototypes;RF
